,评论类型,用户id,用户名,评论内容,时间
0,差评,18740603947,K***M,商品性能超级差，我不夸张用了不到10天，就算是个二手，这质量也太差了。还有更可憎的，我手机邮回去告知我维修需要费用，原因是我把质保小标签撕了，话说谁用手机后面贴一堆东西，这么重要为什么不告知消费者，只说有链接，我们没看。呵呵了，希望大家都不要在这家买了，产品不行，处理问题也不行。,2023-02-01 19:53:08
1,差评,16207606757,夏***了,使用不到半个月，屏幕就出现质量问题，轻按屏幕就出现竖条纹，非常垃圾，售后不行，想购买这个商家商品的，可以换一家了,2021-08-27 16:30:15
2,差评,18128633770,你***有,下黑色，发绿色。   没卡托,2022-09-27 19:48:35
3,差评,18408146499,j***d,别买，会后悔的,2022-11-18 10:46:50
4,差评,14060009761,j***4,谁买谁倒霉，东西很旧，价格虚高，还不让退货，千万不要买。,2020-04-21 09:56:58
5,差评,16472533101,j***b,第一次给差评，售后完全没把问题放心上。第一次收货后就发现指纹识别有问题，寄回去换了之后，新发过来的指纹识别依然是坏的。非常不愉快的购物体验,2021-10-16 20:40:40
6,中评,15715740737,米***斯,京东买手机也太坑了。想退货退款又迟迟不给退。,2021-05-25 10:10:28
7,中评,15698683546,j***b,感受一般，没有惊喜,2021-05-21 06:33:46
8,好评,14047378891,_***_,魅族老用户了，原本想买16t但是看了一下，16spro也不贵多少，应该不是翻新机，保到2021年，屏幕有细微使用痕迹，边框右上角有一块掉了一点点漆，差不多也是95新那样，到手后用了一天，打游戏掉电也不快，卖家发给我都不清理痕迹的嘛?照片和便签，搜索记录都还在，机子还可以,2020-04-18 08:58:54
9,好评,17565713789,小***兴,第一次在网上买二手手机，虽然是二手，但手机成色很新，一直喜欢这个很久了，虽然是几年前发布的机子，对于我这个不打手机游戏的人来说，也就日常使用已经足够了，手中的魅族note8也可以放下了。,2022-06-01 11:01:41
10,好评,14006718688,l***7,11年魅族老用户，家里现有魅蓝X，PRO7高配，16thplus，16X。本人持有PRO7和16X。老妈手上魅蓝X卡顿严重，所以把我的PRO7给她用。 先来说手机，回来后第一时间用强光手电检查，正面屏幕有几道轻微划痕，周边无磕碰，符合95新。里面数据未清空，还有前机主的通讯录，Flyme账号处于登录状态（售后提供密码后退出），无官方维修记录（是否私下维修过不清楚），查询官方保修到11月份。送的充电器和数据线是原装的（识别是否原装数据线很简单，连接电脑看是否能进入USB调试）。手机耗电确实控制的不错，和我的16X比耐用些，和平精英两局半，耗电20%左右，电影看了两部总时长4小时左右，耗电20%多一点。 再来说说不给满分的原因: 1.商家的发货速度，真不敢恭维，3月30日晚11点多下单，我在3月31日下午买的背壳，4月2日收到背壳，手机却在4月2日才发货，快递4月3日才正式发出来，4月5日下午送达。 2.送了钢化玻璃贴膜，商家也太不走心了，贴上后发现小了一圈，后来灵机一动，拿出16X，扯下来贴上，完美。 3.给店家一个建议，客户询问的时候，回消息能否不那么生硬，别老是像被扣了奖金的样子。,2020-04-07 16:26:13
11,好评,19196475947,j***4,包装好，配件好，手机更好?,2023-06-07 13:31:11
12,好评,13865450847,陌***顾,此用户未填写评价内容,2020-03-02 22:10:14
13,好评,13844169200,u***x,很不错，性价比很高，外观完美。,2020-02-26 19:08:09
14,好评,14081549224,H***5,手机很流畅，颜值很高，手感很滑 拍照很清晰，唯一不足的就是相册里的照片无法旋转保存，难道这是魅族手机的特色吗？(来自一枚假魅族粉的我?),2020-04-26 17:46:39
15,好评,16616187273,口***空,入魅族有些年头了，从魅族max3开始，到后面的魅蓝note5，魅族E3，现在的魅族16s pro，此次购买很满意，系统一如既往的好用，95机，外观和屏幕有点点的划痕，不影响使用。玩和平精英这种游戏可以开超清画质，画质很清晰。这点很赞。话不多说这边上好评了。,2021-11-11 02:24:04
16,好评,17081904537,文***心,因为Flyme用惯了，最终还是选择了魅族系列，资金有限只好买二手了，这个机子没让我失望，个人感觉很好用，比Pro7更好用一些，毕竟系统更新了很多，卖家服务也很到位，售后也给了次评价的机会，评价了两次，哈哈,2022-01-31 17:39:50
17,好评,18494405209,j***h,手机用着还不错，可能主板没打散热硅脂，手机表面温温的打开摄像头提示主板温度过高。第一次指纹录入和解锁都有问题，寄回修好可录入并可解锁，过一天用不了了，手机屏幕边有裂缝，客服说的验机。手机买来翻板保资料的，现在电话卡用不了，也不打算修了。,2022-12-08 11:54:01
18,好评,14170379401,阿***牌,目前没有什么大问题  机子成色95新左右   屏幕轻微划痕  侧边轻微磕碰  总体不错  服务态度真的棒 推荐一波。,2020-05-19 12:13:06
19,好评,15247425497,u***x,除了充电器，充电线不是原装！跟新机没区别,2021-01-25 16:21:45
20,好评,15453925871,j***m,屏幕有划痕，四边有磕碰。,2021-03-23 18:38:48
21,好评,14046317198,陈***L,小哥人很好，手机也很nice，手机除了有一点小小的划痕，其他都是没有问题的，非常划算。,2020-04-17 21:09:28
22,好评,14284578977,l***3,很好，不知道什么时候开始喜欢魅族，已经习惯魅族，以后继续支持魅族,2020-06-14 22:04:28
23,好评,14173119619,一***_,机子屏幕无划痕，顶部边框有小小的掉漆，但是不严重，符合95新机子。总体比较满意。还是魅族手机好用。,2020-05-20 01:03:39
24,好评,14715848088,j***w,除了充电那里有点刮痕其它都没有，第一次买二手机，拿到手机放心了,2020-10-04 19:00:54
25,好评,15035500238,趙***t,快递非常快，用着特别棒！,2020-12-12 18:44:00
26,好评,14975955248,s***0,一台不错的备用机 超出预期 值得购买,2020-11-29 09:24:10
27,好评,15194762879,高***_,手机不错，很好！,2021-01-12 20:52:45
28,好评,13684315754,小***兽,发错货了,2020-01-04 23:08:28
29,好评,17236808442,陈***1,非常好&hellip;&hellip;,2022-03-11 09:23:54
30,好评,15626177394,代***e,不错哦,2021-05-02 17:57:50
31,好评,15287950812,我***人,还可以,2021-02-03 18:39:56
32,好评,15256745414,j***u,非常好,2021-01-27 15:34:14
