Unnamed: 0,评论类型,用户id,用户名,评论内容,时间
6,中评,15715740737,米***斯,京东买手机也太坑了。想退货退款又迟迟不给退。,2021-05-25 10:10:28
7,中评,15698683546,j***b,感受一般，没有惊喜,2021-05-21 06:33:46
4,差评,14060009761,j***4,谁买谁倒霉，东西很旧，价格虚高，还不让退货，千万不要买。,2020-04-21 09:56:58
8,好评,14047378891,_***_,魅族老用户了，原本想买16t但是看了一下，16spro也不贵多少，应该不是翻新机，保到2021年，屏幕有细微使用痕迹，边框右上角有一块掉了一点点漆，差不多也是95新那样，到手后用了一天，打游戏掉电也不快，卖家发给我都不清理痕迹的嘛?照片和便签，搜索记录都还在，机子还可以,2020-04-18 08:58:54
14,好评,14081549224,H***5,手机很流畅，颜值很高，手感很滑 拍照很清晰，唯一不足的就是相册里的照片无法旋转保存，难道这是魅族手机的特色吗？(来自一枚假魅族粉的我?),2020-04-26 17:46:39
17,好评,18494405209,j***h,手机用着还不错，可能主板没打散热硅脂，手机表面温温的打开摄像头提示主板温度过高。第一次指纹录入和解锁都有问题，寄回修好可录入并可解锁，过一天用不了了，手机屏幕边有裂缝，客服说的验机。手机买来翻板保资料的，现在电话卡用不了，也不打算修了。,2022-12-08 11:54:01
18,好评,14170379401,阿***牌,目前没有什么大问题  机子成色95新左右   屏幕轻微划痕  侧边轻微磕碰  总体不错  服务态度真的棒 推荐一波。,2020-05-19 12:13:06
21,好评,14046317198,陈***L,小哥人很好，手机也很nice，手机除了有一点小小的划痕，其他都是没有问题的，非常划算。,2020-04-17 21:09:28
24,好评,14715848088,j***w,除了充电那里有点刮痕其它都没有，第一次买二手机，拿到手机放心了,2020-10-04 19:00:54
25,好评,15035500238,趙***t,快递非常快，用着特别棒！,2020-12-12 18:44:00
27,好评,15194762879,高***_,手机不错，很好！,2021-01-12 20:52:45
44,好评,17097098207,离***离,手机收到了，确实很不错，我觉得不是问题机，1500，这个配置没的说，没有发现卡顿，游戏流畅，电池正常。除了物流有点慢，不过过年可以理解。最后，祝老板生意兴隆。,2022-02-07 11:40:55
45,好评,13774207942,j***u,手机外观完美，还附赠原装充电器，值得赞！,2020-02-04 12:04:42
