word,text_content
掉电不快,8
机子还可以,8
包装好,11
配件好,11
手机好,11
性价比高,13
性价高,13
外观完美,13
手机流畅,14
手感不错,14
拍照清晰,14
系统不错,15
画质不错,15
画质清晰,15
服务不错,16
手机不错,17
总体好,18
服务不错,18
手机不错,21
机子不错,23
手机好,23
手机好用,23
手机不错,24
快递快,25
手机好,27
手机不错,41
屏幕不错,41
处理器性能强悍,41
性能强悍,41
屏幕爽,41
性能好,42
游戏流畅,43
外观完美,44
感觉好,50
手机不错,50
手机不错,51
手机好,53
手机不错,54
手机好,59
外观好,61
整体好,62
整体还不错,62
手机好,63
手机新,64
价位合理,67
外观感觉很好,71
外观好,71
物流快,79
客服态度好,79
态度好,79
手机不错,79
手机流畅,82
总体不错,83
手机好,84
体验好,86
商品挺好,90
配件齐全,93
成色好,93
功能正常,93
速度流畅,93
系统好,93
系统还不错,93
感觉好,95
手机质量好,96
感觉不错,97
手机不错,98
整体不错,98
打字爽,99
质量不错,102
东西好,111
手机不错,112
手机好,116
服务好,116
物流快,116
外观好,117
速度快,117
运行速度快,117
配件齐全,117
客服好,118
质量不错,120
价格便宜,120
质量好,120
手感不错,121
用料扎实,121
质量好,121
品质好,121
性价比高,121
性价高,121
成色不错,123
速度快,124
物流速度快,124
性价比高,124
性价高,124
外观不错,125
手感不错,125
系统运行流畅,125
运行流畅,125
物流快,125
服务好,125
态度好,127
手机不错,136
服务好,138
附件齐全,138
手感好,139
功能正常,139
手机好,140
颜色好看,141
处理器不错,141
续航还可以,141
手机还可以,143
手机好,146
外观不错,146
物流快,146
